,BI,Use,PU,PEU,Im,Qu,ENJ,Pf,SA,JR
Use,0.608,,0.421,0.221,0.272,0.227,0.116,0.125,0.101,0.065
BI,,0.513,0.353,0.203,0.214,0.193,0.126,0.097,0.063,0.083
PU,0.42,0.434,,0.224,0.205,0.211,0.202,0.055,0.074,0.06
Qu,0.327,0.364,0.293,0.232,0.203,,0.128,0.055,0.08,0.056
Im,0.198,0.338,0.192,0.179,,0.115,0.039,0.049,0.058,0.11
ENJ,0.157,0.236,0.216,0.29,0.138,0.101,,0.035,0.101,0.068
SA,0.085,0.201,0.088,0.237,0.129,0.07,0.095,0.074,,0.088
Pf,0.105,0.23,0.046,0.19,0.099,0.04,0.005,,0.067,0.076
PEU,0.062,0.198,0.113,,0.118,0.097,0.191,0.062,0.114,0.061
JR,0.038,0.159,0.015,0.18,0.128,0.019,0.004,0.044,0.031,
